respondent_id,year,age,gender,ses,AC1,AC2,AC3,FS1,EC2,PT3,EC4,FS5,PD6,FS7,PT8,EC9,PD10,PT11,FS12,PD13,EC14,PT15,FS16,PD17,EC18,PD19,EC20,PT21,EC22,FS23,PD24,PT25,FS26,PD27,PT28,FS_mean,PT_mean,EC_mean,PD_mean,IRI_total,qc_fail_count,md_score,is_outlier
499,2023,20.0,2.0,0.0,,,,2,2,5,5,3,1,5,3,1,1,3,4,4,4,5,4,4,5,4,2,2,3,3,1,1,2,1,2,3.2857142857142856,3.0,3.142857142857143,2.2857142857142856,2.928571428571429,0,5.139376807960994,False
500,2023,18.0,1.0,3.0,,,,1,4,5,5,5,1,5,5,5,1,5,4,1,5,5,2,2,5,1,2,1,3,1,1,4,1,1,5,2.7142857142857144,4.285714285714286,4.142857142857143,1.1428571428571428,3.071428571428571,0,7.5967063065246325,True
501,2023,18.0,1.0,0.0,,,,1,3,3,4,1,1,4,4,3,4,1,1,2,1,1,3,2,5,3,4,4,2,3,2,3,1,3,5,2.0,3.0,3.142857142857143,2.4285714285714284,2.642857142857143,0,7.279524639192515,False
502,2023,21.0,2.0,2.0,,,,3,4,2,2,1,2,2,3,3,4,2,3,1,5,3,1,5,5,1,5,4,5,1,2,1,4,1,2,2.142857142857143,2.4285714285714284,4.142857142857143,2.2857142857142856,2.75,0,7.674007941980423,True
503,2023,23.0,1.0,1.0,,,,1,2,3,4,1,1,5,3,3,1,3,5,3,4,4,1,1,5,2,1,2,1,1,1,1,1,1,3,2.142857142857143,2.7142857142857144,2.857142857142857,1.4285714285714286,2.285714285714286,0,4.581951745356733,False
504,2023,18.0,1.0,2.0,,,,3,3,3,3,2,1,2,4,4,1,3,5,2,3,5,4,1,5,2,1,3,1,3,1,2,2,1,4,3.0,3.4285714285714284,2.857142857142857,1.2857142857142858,2.6428571428571432,0,4.73328086744427,False
505,2023,19.0,1.0,2.0,,,,3,4,3,4,2,2,3,3,4,3,2,4,3,4,3,3,2,3,4,3,4,3,2,2,1,2,3,5,2.7142857142857144,3.0,3.5714285714285716,2.7142857142857144,3.0,0,5.255810994446668,False
506,2023,20.0,1.0,2.0,,,,3,4,4,3,2,2,3,4,4,3,2,4,3,4,4,2,3,4,3,3,4,1,3,2,3,2,3,4,2.7142857142857144,3.5714285714285716,3.2857142857142856,2.7142857142857144,3.071428571428572,0,4.529591798841206,False
507,2023,18.0,1.0,0.0,,,,5,5,1,5,1,3,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,5,1.5714285714285714,1.5714285714285714,2.4285714285714284,1.4285714285714286,1.75,0,8.884903476567535,True
508,2023,18.0,2.0,2.0,,,,3,4,2,5,5,5,3,5,4,4,4,2,5,5,3,3,4,5,5,3,4,4,3,4,2,4,3,4,3.2857142857142856,3.4285714285714284,4.285714285714286,4.285714285714286,3.821428571428571,0,5.515159266669237,False
